FirstImage,SecondImage,NonZeroR,NonZeroG,NonZeroB,Matches0.5,Matches0.6,Matches0.7,Matches0.8,Matches0.9,Matches1.0,Matches
blues/Burning,blues/DADDAD,226596,220369,228632,0,0,2,8,85,416,462
blues/Burning,blues/Household,256132,247540,257604,0,0,0,7,77,419,462
blues/Burning,blues/In,250863,244014,253179,0,0,2,19,106,419,462
blues/Burning,blues/Kaggen,223090,214079,224773,0,0,0,12,88,420,462
blues/Burning,blues/L'homme,270547,258656,272525,0,0,1,8,62,417,462
blues/Burning,blues/short,228182,221680,230967,0,0,2,16,68,418,462
blues/Burning,blues/Steady,255506,249882,257799,0,0,0,12,103,421,462
blues/Burning,blues/Wild,163188,160001,164575,0,0,2,10,76,423,462
blues/Burning,blues/World,248374,233255,250115,0,0,1,10,64,412,462
blues/DADDAD,blues/Household,263538,253977,265596,0,0,3,28,100,400,437
blues/DADDAD,blues/In,252259,243762,255904,0,0,1,13,75,387,437
blues/DADDAD,blues/Kaggen,232445,221464,234898,0,0,2,19,101,391,437
blues/DADDAD,blues/L'homme,270936,258305,273676,0,0,1,12,91,398,437
blues/DADDAD,blues/short,236300,226484,240282,0,1,4,12,76,391,437
blues/DADDAD,blues/Steady,260393,253511,264009,0,0,4,16,92,400,437
blues/DADDAD,blues/Wild,214561,214876,216229,0,0,0,3,57,385,437
blues/DADDAD,blues/World,251605,232072,253796,0,1,1,6,57,392,437
blues/Household,blues/In,277738,268521,280001,0,0,3,11,99,367,403
blues/Household,blues/Kaggen,265840,254610,267339,0,0,1,15,73,357,403
blues/Household,blues/L'homme,282552,265856,284421,0,0,2,17,90,370,403
blues/Household,blues/short,269217,258954,271910,0,0,0,11,68,360,403
blues/Household,blues/Steady,276897,266886,279104,0,0,1,22,91,372,403
blues/Household,blues/Wild,240083,238194,241157,0,0,1,9,80,369,403
blues/Household,blues/World,269748,249073,271226,0,1,3,14,66,357,403
blues/In,blues/Kaggen,255142,245505,257840,0,0,1,12,83,356,396
blues/In,blues/L'homme,280357,267419,283413,0,0,8,31,108,355,396
blues/In,blues/short,257363,249359,261702,0,0,2,12,77,362,396
blues/In,blues/Steady,272647,265374,276379,0,0,4,20,101,358,396
blues/In,blues/Wild,241298,240821,243278,0,0,2,9,66,358,396
blues/In,blues/World,267926,250371,270396,0,0,3,16,78,358,396
blues/Kaggen,blues/L'homme,271989,256765,274019,0,0,1,25,111,434,476
blues/Kaggen,blues/short,232310,220629,235219,0,1,2,10,93,430,476
blues/Kaggen,blues/Steady,262855,254074,265360,0,0,2,17,99,431,476
blues/Kaggen,blues/Wild,209099,208010,210501,0,1,5,22,97,437,476
blues/Kaggen,blues/World,250907,229708,252541,0,0,2,16,90,432,476
blues/L'homme,blues/short,272879,257994,275982,0,0,1,10,71,372,409
blues/L'homme,blues/Steady,280996,266725,283962,0,0,0,18,108,365,409
blues/L'homme,blues/Wild,266251,263807,267869,0,0,0,9,82,372,409
blues/L'homme,blues/World,275878,247534,277892,0,0,1,12,68,370,409
blues/short,blues/Steady,262510,253989,266624,0,0,2,14,96,422,454
blues/short,blues/Wild,221961,222516,224284,0,0,0,11,77,400,454
blues/short,blues/World,253336,232060,256004,0,0,2,12,69,421,454
blues/Steady,blues/Wild,245566,245358,247426,0,1,3,17,68,391,434
blues/Steady,blues/World,271858,253949,274167,0,0,3,12,84,393,434
blues/Wild,blues/World,242965,240043,244235,0,2,4,23,96,422,456
blues/Burning,classical/Al,176955,171056,178671,0,0,0,7,47,405,462
blues/Burning,classical/Bach,156657,156305,157101,0,0,0,3,52,413,462
blues/Burning,classical/CINE,170617,164936,171836,0,0,0,9,73,404,462
blues/Burning,classical/clessidra,159080,156718,160867,0,0,0,15,63,414,462
blues/Burning,classical/F.Mendelssohn,175050,169388,175642,0,0,0,9,67,409,462
blues/Burning,classical/flowing,190373,183181,191081,0,0,2,11,79,411,462
blues/Burning,classical/Galdson,161541,158754,164008,0,0,0,7,45,395,462
blues/Burning,classical/Helios,162082,159343,164172,0,0,0,9,57,418,462
blues/Burning,classical/La,169742,165926,171118,0,0,1,7,68,403,462
blues/Burning,classical/middlenight,162082,159343,164172,0,0,0,9,57,418,462
blues/Burning,classical/R.Schumann,157377,157194,158214,0,0,1,3,52,406,462
blues/Burning,classical/Silence,157546,156518,159070,0,0,0,2,47,407,462
blues/Burning,classical/Vivaldi,193084,185436,195158,1,1,1,5,69,424,462
blues/Burning,classical/Vivaldi,176591,168500,177489,0,0,5,15,77,425,462
blues/DADDAD,classical/Al,216122,214849,218476,0,0,0,5,62,386,437
blues/DADDAD,classical/Bach,215947,216424,216274,0,0,0,5,47,386,437
blues/DADDAD,classical/CINE,216292,215034,217735,0,0,0,8,70,392,437
blues/DADDAD,classical/clessidra,214073,215594,216164,0,0,0,8,70,390,437
blues/DADDAD,classical/F.Mendelssohn,217559,215777,218129,0,0,1,8,58,381,437
blues/DADDAD,classical/flowing,231712,227642,232619,0,0,0,11,79,384,437
blues/DADDAD,classical/Galdson,213414,214968,216358,0,0,1,6,61,376,437
blues/DADDAD,classical/Helios,213976,215287,216376,0,0,0,9,74,401,437
blues/DADDAD,classical/La,217425,217790,219242,0,0,0,12,75,391,437
blues/DADDAD,classical/middlenight,213976,215287,216376,0,0,0,9,74,401,437
blues/DADDAD,classical/R.Schumann,215649,216685,216575,0,0,0,7,72,396,437
blues/DADDAD,classical/Silence,214800,216243,216399,0,0,0,3,65,398,437
blues/DADDAD,classical/Vivaldi,216567,212201,219613,0,0,2,18,81,391,437
blues/DADDAD,classical/Vivaldi,216408,213857,217311,0,0,0,9,72,393,437
blues/Household,classical/Al,242902,238841,244356,0,0,2,9,41,363,403
blues/Household,classical/Bach,238463,238311,238755,0,0,0,2,31,359,403
blues/Household,classical/CINE,243781,240038,244849,0,0,0,12,79,359,403
blues/Household,classical/clessidra,238617,238158,240125,0,0,3,16,69,360,403
blues/Household,classical/F.Mendelssohn,245913,242216,246349,0,0,1,9,67,361,403
blues/Household,classical/flowing,254671,248694,255216,0,0,4,23,107,375,403
blues/Household,classical/Galdson,239956,238802,241862,0,1,2,8,49,366,403
blues/Household,classical/Helios,239486,238118,241193,2,2,4,21,86,370,403
blues/Household,classical/La,242274,240311,243550,0,1,1,6,58,367,403
blues/Household,classical/middlenight,239486,238118,241193,2,2,4,21,86,370,403
blues/Household,classical/R.Schumann,238437,238488,239038,0,0,1,4,38,370,403
blues/Household,classical/Silence,238310,238352,239568,0,0,0,5,66,352,403
blues/Household,classical/Vivaldi,248191,241106,250288,0,0,2,11,70,360,403
blues/Household,classical/Vivaldi,243168,237860,243879,0,0,2,12,62,372,403
blues/In,classical/Al,243139,240444,245606,0,0,1,6,55,353,396
blues/In,classical/Bach,242813,243228,243286,0,0,1,5,44,358,396
blues/In,classical/CINE,242630,240576,244441,0,0,1,15,81,365,396
blues/In,classical/clessidra,241111,241813,243235,0,0,2,9,66,353,396
blues/In,classical/F.Mendelssohn,244526,241739,245223,0,0,0,7,75,348,396
blues/In,classical/flowing,253380,248622,254295,0,0,0,12,94,367,396
blues/In,classical/Galdson,240377,240893,243402,0,0,1,5,54,343,396
blues/In,classical/Helios,240820,241031,243379,0,0,3,10,68,360,396
blues/In,classical/La,244033,243837,246185,0,0,2,10,67,362,396
blues/In,classical/middlenight,240820,241031,243379,0,0,3,10,68,360,396
blues/In,classical/R.Schumann,242203,243372,243422,0,0,0,2,33,345,396
blues/In,classical/Silence,241498,242826,243435,0,0,0,4,48,361,396
blues/In,classical/Vivaldi,243718,237257,246695,0,0,1,5,65,361,396
blues/In,classical/Vivaldi,243146,238824,244213,0,0,1,9,81,349,396
blues/Kaggen,classical/Al,216149,212830,218021,0,0,0,9,84,421,476
blues/Kaggen,classical/Bach,209175,209288,209499,0,0,0,6,70,432,476
blues/Kaggen,classical/CINE,209950,206989,211169,0,0,0,13,70,431,476
blues/Kaggen,classical/clessidra,208225,208155,209758,0,0,0,8,63,425,476
blues/Kaggen,classical/F.Mendelssohn,215630,212358,216160,0,1,1,11,76,425,476
blues/Kaggen,classical/flowing,224945,219088,225601,0,0,2,15,97,443,476
blues/Kaggen,classical/Galdson,208041,207478,210275,0,0,0,13,69,425,476
blues/Kaggen,classical/Helios,208172,207635,210066,0,2,4,16,67,427,476
blues/Kaggen,classical/La,215414,214285,216809,0,0,0,4,97,424,476
blues/Kaggen,classical/middlenight,208172,207635,210066,0,2,4,16,67,427,476
blues/Kaggen,classical/R.Schumann,209448,209985,210274,0,0,0,6,62,430,476
blues/Kaggen,classical/Silence,209079,209557,210418,0,0,1,11,58,422,476
blues/Kaggen,classical/Vivaldi,219579,211181,221656,0,0,0,20,81,438,476
blues/Kaggen,classical/Vivaldi,214418,209084,215140,0,0,5,18,86,435,476
blues/L'homme,classical/Al,267419,261702,269560,0,0,3,14,49,354,409
blues/L'homme,classical/Bach,266555,266640,267011,0,0,0,7,49,378,409
blues/L'homme,classical/CINE,267712,262181,269066,0,0,1,14,58,368,409
blues/L'homme,classical/clessidra,265671,264484,267609,0,0,2,17,72,368,409
blues/L'homme,classical/F.Mendelssohn,268623,263384,269275,0,0,0,11,56,376,409
blues/L'homme,classical/flowing,272236,263793,273054,0,0,2,17,72,359,409
blues/L'homme,classical/Galdson,265787,263832,268277,0,0,1,7,68,364,409
blues/L'homme,classical/Helios,265841,263768,267984,0,0,3,13,76,371,409
blues/L'homme,classical/La,268363,265753,270160,0,0,0,9,73,362,409
blues/L'homme,classical/middlenight,265841,263768,267984,0,0,3,13,76,371,409
blues/L'homme,classical/R.Schumann,266174,266657,267170,0,0,1,6,54,377,409
blues/L'homme,classical/Silence,265482,265439,267190,0,0,0,4,54,372,409
blues/L'homme,classical/Vivaldi,268758,259232,271316,0,0,1,14,74,361,409
blues/L'homme,classical/Vivaldi,268791,261300,269704,0,0,1,17,73,374,409
blues/short,classical/Al,228943,228208,231731,0,0,1,6,56,413,454
blues/short,classical/Bach,221090,221670,221635,0,0,0,5,66,417,454
blues/short,classical/CINE,219361,217993,221443,0,1,3,16,80,404,454
blues/short,classical/clessidra,219115,221153,222145,2,2,5,16,83,416,454
blues/short,classical/F.Mendelssohn,227475,225503,228401,0,0,3,14,77,386,454
blues/short,classical/flowing,233530,228432,234746,0,0,0,10,88,411,454
blues/short,classical/Galdson,217837,219785,221998,0,1,1,10,77,414,454
blues/short,classical/Helios,220056,221803,223410,0,0,0,11,73,388,454
blues/short,classical/La,227117,227724,229627,0,0,2,11,82,419,454
blues/short,classical/middlenight,220056,221803,223410,0,0,0,11,73,388,454
blues/short,classical/R.Schumann,221329,222586,222590,0,0,0,6,63,409,454
blues/short,classical/Silence,220613,222765,223177,0,0,0,8,63,406,454
blues/short,classical/Vivaldi,229438,225671,233608,0,0,1,9,61,401,454
blues/short,classical/Vivaldi,226030,223269,227634,1,2,7,19,85,412,454
blues/Steady,classical/Al,249184,247497,251645,0,0,3,10,59,389,434
blues/Steady,classical/Bach,246495,246909,246940,0,0,0,4,49,383,434
blues/Steady,classical/CINE,247877,246042,249382,0,1,4,15,80,391,434
blues/Steady,classical/clessidra,244812,245720,247055,0,0,0,9,75,385,434
blues/Steady,classical/F.Mendelssohn,250350,247942,251030,0,0,0,6,53,389,434
blues/Steady,classical/flowing,254947,249641,255941,0,0,2,13,91,397,434
blues/Steady,classical/Galdson,244561,245593,247768,0,0,1,8,55,384,434
blues/Steady,classical/Helios,245314,245872,247977,0,0,1,9,78,398,434
blues/Steady,classical/La,248670,248489,250810,0,0,1,13,75,390,434
blues/Steady,classical/middlenight,245314,245872,247977,0,0,1,9,78,398,434
blues/Steady,classical/R.Schumann,246188,247066,247247,0,0,0,4,45,385,434
blues/Steady,classical/Silence,245117,246475,247095,0,0,0,4,56,384,434
blues/Steady,classical/Vivaldi,251035,247524,254228,0,1,3,16,89,394,434
blues/Steady,classical/Vivaldi,248818,245682,249902,0,0,0,8,67,386,434
blues/Wild,classical/Al,117661,114689,119003,0,7,20,45,119,420,456
blues/Wild,classical/Bach,75750,75219,76020,0,0,0,5,54,410,456
blues/Wild,classical/CINE,108124,104817,108908,0,1,7,23,128,420,456
blues/Wild,classical/clessidra,83799,82471,85147,0,0,1,17,95,403,456
blues/Wild,classical/F.Mendelssohn,110282,107046,110906,0,1,2,10,83,404,456
blues/Wild,classical/flowing,141963,139170,142540,0,0,1,10,93,419,456
blues/Wild,classical/Galdson,94119,93178,96092,0,0,0,15,101,410,456
blues/Wild,classical/Helios,88648,87308,90433,0,2,7,28,114,417,456
blues/Wild,classical/La,102315,100565,103568,0,1,3,28,135,421,456
blues/Wild,classical/middlenight,88648,87308,90433,0,2,7,28,114,417,456
blues/Wild,classical/R.Schumann,77716,77558,78369,0,0,0,10,85,421,456
blues/Wild,classical/Silence,79415,78999,80678,0,0,0,7,75,408,456
blues/Wild,classical/Vivaldi,153450,151988,155601,0,0,1,20,108,410,456
blues/Wild,classical/Vivaldi,122210,118235,123020,0,0,3,24,108,421,456
blues/World,classical/Al,244181,237226,245788,0,0,0,4,36,416,464
blues/World,classical/Bach,243470,243382,243798,0,0,0,2,55,407,464
blues/World,classical/CINE,244762,238848,245927,0,0,0,6,60,418,464
blues/World,classical/clessidra,242704,241268,244205,0,0,1,4,44,403,464
blues/World,classical/F.Mendelssohn,247389,241596,247897,0,0,0,4,57,412,464
blues/World,classical/flowing,251197,240458,251866,0,0,0,5,63,424,464
blues/World,classical/Galdson,242588,240075,244685,0,0,0,0,37,407,464
blues/World,classical/Helios,243049,240587,244855,0,0,1,5,56,410,464
blues/World,classical/La,244855,241529,246291,0,0,0,2,32,407,464
blues/World,classical/middlenight,243049,240587,244855,0,0,1,5,56,410,464
blues/World,classical/R.Schumann,243140,243346,243874,0,0,0,2,48,406,464
blues/World,classical/Silence,242726,242379,244109,0,0,0,2,41,403,464
blues/World,classical/Vivaldi,246308,233551,248282,0,0,0,5,63,413,464
blues/World,classical/Vivaldi,244439,235427,245178,0,0,0,6,52,411,464
blues/Burning,dance/2015,246295,242087,247966,0,0,0,5,48,409,462
blues/Burning,dance/Give,273602,263251,274767,0,0,2,18,88,418,462
blues/Burning,dance/Landscape,278744,273537,280915,0,0,2,5,68,421,462
blues/Burning,dance/Rotational,256494,247513,258337,0,0,2,18,75,420,462
blues/Burning,dance/Stardust,243617,239131,245582,0,0,1,10,89,422,462
blues/Burning,dance/Summer,272361,264018,273520,0,0,2,13,81,418,462
blues/Burning,dance/The,263830,259674,266163,0,0,2,8,86,418,462
blues/Burning,dance/Wish,264038,256909,265938,0,0,0,8,75,427,462
blues/DADDAD,dance/2015,253920,250542,257253,0,0,0,10,70,402,437
blues/DADDAD,dance/Give,282242,271211,283761,0,1,3,12,75,390,437
blues/DADDAD,dance/Landscape,277901,270086,280649,0,0,2,14,82,399,437
blues/DADDAD,dance/Rotational,262096,251271,264725,0,0,2,22,103,395,437
blues/DADDAD,dance/Stardust,259348,254716,262552,0,0,0,18,83,387,437
blues/DADDAD,dance/Summer,273924,265843,276143,0,0,0,14,79,403,437
blues/DADDAD,dance/The,267140,259410,271049,0,0,3,16,96,393,437
blues/DADDAD,dance/Wish,265639,255305,268578,0,0,1,11,77,397,437
blues/Household,dance/2015,269160,263489,271224,0,0,3,11,77,366,403
blues/Household,dance/Give,285009,270417,286242,0,2,8,27,87,366,403
blues/Household,dance/Landscape,288244,278220,290263,0,0,1,13,81,363,403
blues/Household,dance/Rotational,272818,259586,274802,0,0,1,24,99,373,403
blues/Household,dance/Stardust,275045,267598,277003,0,2,5,22,112,364,403
blues/Household,dance/Summer,286633,274787,288357,0,0,2,19,98,373,403
blues/Household,dance/The,273637,262601,276287,0,0,3,23,101,361,403
blues/Household,dance/Wish,274136,260920,276259,0,1,5,22,98,364,403
blues/In,dance/2015,269993,265308,272733,0,1,7,27,90,360,396
